db,query,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,subspecies
ncbi,Pristina_osborni,NA,Metazoa,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Naididae,Naidinae,NA,Pristina,Pristina osborni,NA
ncbi,Latinopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Candonopsis_kingsleyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Callistocypris_mckenziei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Elpidium_bromeliarum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Elpidium_maracaoensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Elpidium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Platyhelminthes,NA,Metazoa,Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Turbellaria,NA,Metazoa,Platyhelminthes,NA,Turbellaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Planorbidae,NA,Metazoa,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Planorbidae,NA,NA,NA,NA,NA
ncbi,Phylloicus_bromeliarum,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Calamoceratidae,Calamoceratinae,NA,Phylloicus,Phylloicus bromeliarum,NA
ncbi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Leptagrion_macrurum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Trichoptera,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Contacyphon,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Scirtidae,NA,NA,Contacyphon,NA,NA
ncbi,Dasyheleniae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Annelida,NA,Metazoa,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Wyeomyia_edwardsi_or_mulhensi_or_theobaldi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Leptagrion_bocainense_or_macrurum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culicinae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,NA,NA,NA,NA
ncbi,Chironominae_or_Tanypodinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Wyeomyia_abebela_or_ccircumcincta_or_melanopus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_daumastocampa_or_jenningsi_or_rejector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Anopheles_or_Wyeomia_or_Culex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Podonominae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chironomidae,Podonominae,NA,NA,NA,NA
ncbi,Fidena,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Tabanidae,Pangoniinae,Scioniini,Fidena,NA,NA
ncbi,Chironomini,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chironomidae,Chironominae,Chironomini,NA,NA,NA
ncbi,Tanytarsini,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,NA,NA
ncbi,Heteroptera,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Toxorhynchites_haemorroidalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Dasyhelea,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ceratopogonidae,Dasyheleinae,NA,Dasyhelea,NA,NA
ncbi,Leptagrion,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Coenagrionidae,NA,NA,Leptagrion,NA,NA
ncbi,Wyeomyia_mitchellii,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Sabethini,Wyeomyia,Wyeomyia mitchellii,NA
ncbi,Toxorhynchites_theobaldi,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Toxorhynchitinae,NA,Toxorhynchites,Toxorhynchites theobaldi,NA
ncbi,Limoniini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Curculionidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Curculionidae,NA,NA,NA,NA,NA
ncbi,Copelatus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Dytiscidae,Copelatinae,NA,Copelatus,NA,NA
ncbi,Elateridae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Elateridae,NA,NA,NA,NA,NA
ncbi,Muscidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Muscidae,NA,NA,NA,NA,NA
ncbi,Sarchophagidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Ephemeroptera,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Megaloptera,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Nematoda,NA,Metazoa,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Nematomorpha,NA,Metazoa,Nematomorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Eutrigaster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Lumbricidae,NA,Metazoa,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Lumbricidae,NA,NA,NA,NA,NA
ncbi,Neotrigaster_complutensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Trigaster_yukiyui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Dipropus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Dixidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Dixidae,NA,NA,NA,NA,NA
ncbi,Helobdella,NA,Metazoa,Annelida,NA,Clitellata,Hirudinea,NA,NA,Glossiphoniidae,NA,NA,Helobdella,NA,NA
