db,query,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,subspecies
ncbi,Stenochironomus_atlanticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Metriocnemus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chironomidae,Orthocladiinae,NA,Metriocnemus,NA,NA
ncbi,Rheocricotopus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chironomidae,Orthocladiinae,NA,Rheocricotopus,NA,NA
ncbi,Chironominae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chironomidae,Chironominae,NA,NA,NA,NA
ncbi,Sciaridae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Sciaridae,NA,NA,NA,NA,NA
ncbi,Polyphaga,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Dytiscidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Dytiscidae,NA,NA,NA,NA,NA
ncbi,Copelatus_bimaculatus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Dytiscidae,Copelatinae,NA,Papuadytes,Papuadytes bimaculatus,NA
ncbi,Eukiefferiella,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chironomidae,Orthocladiinae,NA,Eukiefferiella,NA,NA
ncbi,Smittia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chironomidae,Orthocladiinae,NA,Smittia,NA,NA
ncbi,Boreochlus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chironomidae,Podonominae,NA,Boreochlus,NA,NA
ncbi,Paratanytarsus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chironomidae,Chironominae,Tanytarsini,Paratanytarsus,NA,NA
ncbi,Stempellinella,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chironomidae,Chironominae,Tanytarsini,Stempellinella,NA,NA
ncbi,Tanytarsus_bromelicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Corethrella_fulva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Corethrella,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Chaoboridae,Corethrellinae,NA,Corethrella,NA,NA
ncbi,Corethrella_infuscata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Celina,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Dytiscidae,Hydroporinae,Methlini,Celina,NA,NA
ncbi,Corethrellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Corethrella_belkini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
